Canton;CodeCommune;Commune;BV;Inscrits;Votants;Abstention;Blancs et nuls;Exprimés;Kichi;Bousquet;Raphael;Loiseau;Asselineau;Geyres;Frison;Levieux;Feuillas;Costes;Nekkaz;Garcia-Luna;Miguet;Carpentier;Barral;Lebreton;Garay
23;239;SAINT-ETIENNE-DE-FOUGÈRES;1;664;259;405;13;246;14;89;2;19;3;0;2;1;7;56;0;1;0;4;38;7;3
23;265;SAINT-PASTOUR;1;283;110;173;4;106;8;29;1;8;0;0;1;0;5;17;0;1;1;4;31;0;0
23;309;TOMBEBOEUF;1;325;143;182;6;137;2;37;5;14;0;0;5;0;3;36;0;1;0;5;26;2;1
23;313;TOURTRÈS;1;103;56;47;4;52;0;19;1;1;0;1;1;0;0;19;0;0;0;2;7;1;0
23;319;VILLEBRAMAR;1;70;29;41;3;26;0;9;0;1;0;0;0;0;0;8;0;0;0;1;7;0;0
24;109;GAVAUDUN;1;215;120;95;7;113;6;40;0;8;5;0;4;0;5;22;0;0;0;8;13;0;2
24;123;LACAPELLE-BIRON;1;356;184;172;9;175;1;25;2;15;3;0;0;0;4;32;0;0;0;7;77;3;6
24;124;LACAUSSADE;1;167;76;91;1;75;0;11;1;1;0;0;5;0;2;34;0;0;0;5;15;0;1
24;141;LAUSSOU;1;222;100;122;4;96;7;17;1;2;0;0;0;0;6;22;0;0;0;7;34;0;0
24;175;MONFLANQUIN;1;890;440;450;21;419;6;79;7;29;4;2;8;0;8;124;0;0;3;25;118;2;4
24;175;MONFLANQUIN;2;851;377;474;19;358;15;77;1;25;6;0;4;2;4;117;0;0;3;17;77;7;3
24;178;MONSÉGUR;1;330;167;163;4;163;0;43;3;8;0;2;0;0;3;53;0;0;0;5;42;1;3
24;181;MONTAGNAC-SUR-LÈDE;1;220;96;124;2;94;4;23;1;1;1;0;2;0;6;33;0;0;0;0;21;0;2
24;202;PAULHIAC;1;213;105;108;6;99;1;28;3;8;1;3;0;0;7;12;0;0;0;5;28;0;3
