"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","78%","1%","10%","11%","2621"
"BlancsNuls","17%","27%","31%","25%","98"
"autres","24%","10%","34%","32%","154"
"Bousquet","7%","4%","82%","7%","498"
"Loiseau","19%","29%","28%","24%","93"
"Feuillas","23%","28%","21%","28%","39"
"Costes","4%","4%","5%","87%","760"
"Carpentier","26%","23%","27%","25%","73"
"Barral","11%","39%","19%","32%","635"
"Voix","2267","432","942","1330","4971"
