"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","78%","1%","10%","11%","2386"
"BlancsNuls","17%","26%","32%","25%","128"
"autres","24%","9%","35%","32%","211"
"Bousquet","6%","3%","84%","7%","586"
"Loiseau","19%","28%","29%","24%","106"
"Feuillas","23%","29%","21%","27%","44"
"Costes","4%","3%","5%","88%","497"
"Carpentier","26%","22%","27%","25%","60"
"Barral","12%","34%","21%","33%","486"
"Voix","2081","322","1048","1053","4504"
