"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","83%","1%","9%","8%","1973"
"BlancsNuls","17%","27%","31%","24%","70"
"autres","25%","10%","35%","31%","121"
"Bousquet","7%","4%","83%","6%","365"
"Loiseau","20%","29%","29%","22%","104"
"Feuillas","23%","29%","21%","27%","53"
"Costes","5%","4%","6%","85%","292"
"Carpentier","27%","23%","27%","24%","59"
"Barral","12%","38%","21%","30%","333"
"Voix","1826","274","669","601","3370"
