"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","78%","1%","10%","11%","2440"
"BlancsNuls","17%","28%","31%","25%","111"
"autres","24%","10%","35%","32%","210"
"Bousquet","6%","4%","82%","7%","502"
"Loiseau","19%","30%","28%","23%","117"
"Feuillas","23%","29%","21%","27%","65"
"Costes","4%","4%","5%","87%","606"
"Carpentier","26%","23%","26%","25%","99"
"Barral","11%","40%","19%","31%","534"
"Voix","2135","430","982","1137","4684"
