"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","79%","1%","9%","11%","6895"
"BlancsNuls","17%","27%","32%","25%","273"
"autres","24%","9%","34%","32%","568"
"Bousquet","6%","4%","83%","7%","1511"
"Loiseau","19%","28%","29%","24%","293"
"Feuillas","23%","29%","21%","27%","172"
"Costes","4%","3%","5%","88%","1142"
"Carpentier","26%","23%","27%","25%","180"
"Barral","11%","36%","20%","33%","1245"
"Voix","6062","895","2655","2667","12279"
