"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","76%","1%","10%","13%","3783"
"BlancsNuls","17%","27%","31%","25%","144"
"autres","24%","10%","34%","33%","212"
"Bousquet","6%","4%","82%","8%","618"
"Loiseau","19%","29%","28%","24%","138"
"Feuillas","23%","29%","21%","28%","65"
"Costes","3%","3%","3%","91%","2031"
"Carpentier","26%","23%","26%","25%","108"
"Barral","10%","38%","19%","33%","905"
"Voix","3157","613","1292","2942","8004"
