"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","78%","1%","9%","11%","1265"
"BlancsNuls","18%","26%","31%","25%","70"
"autres","24%","9%","34%","33%","127"
"Bousquet","6%","4%","82%","8%","292"
"Loiseau","19%","28%","29%","24%","59"
"Feuillas","23%","29%","21%","28%","43"
"Costes","4%","3%","4%","89%","366"
"Carpentier","26%","22%","27%","25%","46"
"Barral","12%","34%","20%","34%","256"
"Voix","1126","190","531","677","2524"
