"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","77%","1%","11%","10%","1535"
"BlancsNuls","17%","29%","30%","24%","91"
"autres","24%","10%","34%","32%","106"
"Bousquet","6%","5%","82%","7%","319"
"Loiseau","19%","30%","28%","23%","50"
"Feuillas","22%","29%","21%","27%","33"
"Costes","4%","4%","5%","87%","359"
"Carpentier","26%","23%","26%","24%","43"
"Barral","11%","39%","19%","31%","305"
"Voix","1310","245","612","674","2841"
