"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","79%","1%","10%","10%","1098"
"BlancsNuls","17%","28%","30%","25%","51"
"autres","25%","9%","34%","32%","74"
"Bousquet","7%","4%","81%","7%","208"
"Loiseau","20%","29%","28%","23%","51"
"Feuillas","23%","29%","20%","27%","41"
"Costes","5%","4%","5%","87%","233"
"Carpentier","26%","23%","26%","24%","40"
"Barral","12%","38%","19%","31%","189"
"Voix","990","166","388","441","1985"
