"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","78%","1%","10%","10%","3111"
"BlancsNuls","17%","27%","31%","25%","106"
"autres","25%","9%","35%","31%","288"
"Bousquet","6%","4%","83%","7%","764"
"Loiseau","20%","28%","29%","23%","142"
"Feuillas","23%","28%","21%","27%","75"
"Costes","5%","3%","5%","87%","702"
"Carpentier","26%","23%","27%","24%","76"
"Barral","12%","36%","20%","32%","711"
"Voix","2767","456","1375","1377","5975"
