"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","79%","1%","10%","10%","1942"
"BlancsNuls","17%","27%","31%","24%","68"
"autres","24%","9%","36%","31%","189"
"Bousquet","6%","4%","83%","7%","424"
"Loiseau","19%","29%","28%","23%","55"
"Feuillas","23%","28%","21%","27%","52"
"Costes","4%","4%","5%","87%","393"
"Carpentier","26%","23%","27%","24%","54"
"Barral","11%","38%","20%","31%","269"
"Voix","1705","238","749","754","3446"
