"","Abstention","BN","Bousquet","Costes","Voix"
"Abstention",32067,425,3985,4349,40826
"BlancsNuls",281,441,511,407,1640
"autres",801,306,1150,1064,3321
"Bousquet",549,324,7066,614,8552
"Loiseau",325,480,472,393,1670
"Feuillas",211,260,192,250,914
"Costes",396,310,452,8274,9431
"Carpentier",281,245,288,265,1078
"Barral",886,2842,1533,2521,7782
"Voix",35768,5605,15653,18188,75214
