"","Abstention2","BlancsNuls2","Bousquet2","Costes2","Voix"
"Abstention","80%","1%","9%","10%","6509"
"BlancsNuls","18%","26%","31%","25%","284"
"autres","24%","9%","35%","32%","539"
"Bousquet","7%","4%","83%","7%","1373"
"Loiseau","20%","29%","28%","24%","258"
"Feuillas","23%","28%","21%","27%","137"
"Costes","4%","3%","5%","88%","1226"
"Carpentier","26%","23%","27%","25%","140"
"Barral","12%","35%","20%","33%","1222"
"Voix","5819","815","2425","2629","11688"
